,,Priority,Category,Name,Link,Price,,Notes
,16,1,Kitchen,Cookie cookbook,https://shopcookingwithkarli.com/products/the-merry-cookie-lover-the-ultimate-christmas-cookie-and-candy-collection-cookie-lover-book-3-physical-copy,$34.99,,
,16,1,Kitchen,Smart pasta noodle maker ,https://www.williams-sonoma.com/products/philips-smart-pasta-noodle-maker/?catalogId=79&sku=1651409&cm_ven=FreePLA&cm_cat=Google&cm_pla=Electrics%20%3E%20Pasta%20Machines&region_id=668460,$349.95,,
,16,1,Kitchen,binging with babish Cookbook,https://www.amazon.com/gp/product/1328589897/ref=ox_sc_act_title_5?smid=ATVPDKIKX0DER&psc=1,$16.59,,
,16,1,Kitchen,basics with babish Cookbook,https://www.amazon.com/gp/product/198216753X/ref=ox_sc_act_title_4?smid=ATVPDKIKX0DER&psc=1,$20.00,,
,16,1,Kitchen,More Is More: Get Loose in the Kitchen: A Cookbook,https://www.amazon.com/More-Get-Loose-Kitchen-Cookbook/dp/0593578848/ref=sr_1_76?crid=GFZFPDY270NQ&dib=eyJ2IjoiMSJ9.MoUBiLIIuvNceW0bgeFTF3nTKZSFKGFLmCTNNhuqOEBbFNsSoZax7qCdcFHJB6pk8MlM3Qic7w6lvYvnxAeSi94p8jh0faACdDMjGbhI9mt2HIf0VnYsG-oSVQL-SB4Axf0kQ71H0xZnEbkJlvlJBTv6KEadOe9H79jor6_V82h_R4L3SGkJKYPw6TBP09A3OqXB7CqBHk5vFF8zH78kBkxTEtF_au5QvW9FcNGM2XEWuAI8zKwaXXhpJDbpClt3X0NCQ1dXf4xVlQnWjQXdWAkOYfghgvlDnvuNeqE_Ic8.0X8UMAPfqUZU3JwBTveJDGq8-pAauDYP5WtedWbBqw4&dib_tag=se&keywords=cook+book&qid=1722051062&sprefix=cook+book%2Caps%2C118&sr=8-76,$19.00,,
,16,1,Kitchen,What's for Dessert: Simple Recipes for Dessert People: A Baking Book,https://www.amazon.com/Whats-Dessert-Simple-Recipes-People/dp/1984826980/ref=sr_1_1?crid=1DTJLE2JPJKHV&dib=eyJ2IjoiMSJ9.XWcihldc7CxUpbYpI_lQOqkD4YAKUvZ9Q3vRtDbnVHR7ZhoIBRWckn6TbSYuXmgc0hmIKqTgGUZYZ6RoOL4tFeMEOiB8ZfJYEc87BbnVed7W32Z_3sTxuPeJX69fe1v6jT_9yOLVFg3EcgqrmFrZ2VI7JBYdT3B8nbvdF5eafMwPZROAYFUr04U0Qc_YVohI2HZPHB9kp04ZI8GKRB-T_Mubw4HCQMJv5noimsJHICI.t0Q1Vtq5KpWHY_9zOdC_e0tVmE09Lvh67YOyajhTYVA&dib_tag=se&keywords=claire+saffitz+cookbook&qid=1722051146&sprefix=claire+%2Caps%2C139&sr=8-1,$19.00,,
,16,1,Kitchen,Oil Sprayer,https://www.amazon.com/TrendPlain-16oz-Dispenser-Bottle-Kitchen/dp/B0CJF94M8J/ref=sr_1_2?dib=eyJ2IjoiMSJ9.obPlFHhdQmY3i9B4LcQKwkw_Shu5aQaBqsXMNWplog-yoGEqbpLhIbpyrQeXrrI4bMG0yEMQpznleZgkp4jcbtboGrKtQGAwkJ4SQ0nfwzBW_7rlfKzrZ-UTysqumSxGKeGJZFSJOOYMNgxkFi0_iGM6TMXgwJP6tsnSYMVB7l7DdgdOVSA99Oke1GaCvxshVNqAnAfpwVxd8WbURf5_CJvqnw4AoqXNbYYfBZBK1LguacBG2wsS0atLocY6beZvG7hMRexyhkHTcB4_KGdOMGfB6HLvG9GombkvHXeDKcM.LC1iwNa1MfZMPlgPoWdBLgvObs6xNxgZrAZ8_q-oe4s&dib_tag=se&keywords=butter+sprayer&qid=1722387524&sr=8-2,$8.77,,
,16,1,Kitchen,Pasta,https://www.amazon.com/gp/product/B0CP6NV4K6/ref=sw_img_1?smid=A12TEY4UWROV0Q&psc=1,$13.49,,
,16,1,kitchen,cheese powder,https://www.amazon.com/Cheddar-Cheese-Hoosier-Hill-Farm/dp/B008GG9ZS8/ref=mp_s_a_1_1_sspa?crid=10GSDDD8BE2IS&dib=eyJ2IjoiMSJ9.wJsNWBDS8VYxhom3v3RINyk-ja3HZZI_S9ZnbxIKOOqssPS1lPwVF1hLjygfMBXjJVEZuaMWHmuLdhY-CfypM96xS_yHtGLD40DgA7Ezc2Mhg6l45Rn60DNFr7YwBh8lEUTH9j-SPjgR-1bNZQvkZrSvCFvu0KjKjI65fdxGgiWVd2rqxeAy4IJs5k10PEzcmxcGqSQgVMzPq9zlxdJyWQ.8PV_s0HsKkrCppbwqlZxk5f4NIMZ40SXvESKTeSJrtw&dib_tag=se&keywords=hoosier+hill+farm+cheddar+cheese+powder&qid=1712365633&sprefix=hoosier+%2Caps%2C143&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm&psc=1,$14.99,,
,16,1,Kitchen,Food Scale,https://www.amazon.com/OXO-Grips-Stainless-Pull-Out-Display/dp/B079D9B82W?th=1&tag=seriouseats-onsite-prod-20&ascsubtag=5128542%7Cnbb789694d7db44028990cbcc0933e36719%7CB079D9B82W%7C1723492634059%7C%7C,$53.93,,
