csv_order,Priority,Category,Item,Link,Price,Image,Notes,Black Friday Deals,Black Friday Store
17,1,Vinyls,Christmas Charlie Brown vinyl,https://www.amazon.com/Charlie-Brown-Christmas-Green-Vinyl/dp/B002Y1OAJU/ref=sr_1_4?keywords=christmas+vinyl+records&qid=1699072189&sr=8-4,$21.99,https://m.media-amazon.com/images/I/415dby+aFKL._SY300_.jpg,,,
17,1,Vinyls,Conan gray vinyl ,https://www.target.com/p/conan-gray-kid-krow-red-target-exclusive-vinyl/-/A-84049703#lnk=sametab,$22.49,https://target.scene7.com/is/image/Target/GUEST_ee822280-2a5a-48b5-9178-41099c26d12f?wid=600&hei=600&qlt=80&fmt=webp,,,
17,1,Vinyls,Hbo soundtrack vinyl,https://mondoshop.com/products/the-last-of-us-season-1-soundtrack-from-the-hbo-original-series-2xlp-mondo-exclusive,$42.00,https://mondoshop.com/cdn/shop/products/3-TLOUPackGatefold.jpg?v=1695711755&width=570,,,
17,1,Vinyls,Ok Ocherstra vinyl,https://www.amazon.com/OK-ORCHESTRA-AJR/dp/B0BPYYG2WJ/ref=sr_1_2?qid=1699496604&refinements=p_32%3AAJR&s=music&sr=1-2,$24.98,https://m.media-amazon.com/images/I/91qLNA+rklL._SY355_.jpg,,,
17,1,Vinyls,troye sivan vinyl,https://www.amazon.com/Something-Give-Each-Other-LP/dp/B0C9V7X9NR/ref=sr_1_1?keywords=troye+sivan+vinyl&qid=1699757311&sr=8-1,$29.00,https://m.media-amazon.com/images/I/310gUM02q6L._SX300_SY300_QL70_FMwebp_.jpg,,,
17,1,Vinyls,Trans-Siberian Orchestra - Christmas Eve and Other Stories,https://www.amazon.com/Trans-Siberian-Orchestra-Christmas-Other-Stories/dp/B09LTCVXJK,$25.00,https://m.media-amazon.com/images/I/71PQhOeuY9L._SY355_.jpg,,,
17,1,Vinyls,Stardew Vinyl,https://www.fangamer.com/products/stardew-valley-complete-ost-vinyl-box-set,$79.00,https://www.fangamer.com/cdn/shop/files/product_sdv_vinyl_boxset2-1.png?crop=center&height=600&v=1704922959&width=900,,,
18,1,clothes,Women's Hello Kitty and Friends Cozy Graphic Sweatshirt - Pink,https://www.target.com/p/women-s-hello-kitty-and-friends-cozy-graphic-sweatshirt-pink/-/A-91741581?preselect=91719010#lnk=sametab,$13.00,https://target.scene7.com/is/image/Target/GUEST_dab9dec1-1e4f-43ce-b7ec-688b42429df9?wid=600&hei=600&qlt=80&fmt=webp,,,
18,1,Food,Vital wheat gluten,https://www.amazon.com/Bobs-Red-Mill-Vital-Gluten/dp/B083KBZ5DW/ref=sr_1_6?crid=3AMCP0MSP7E5T&dib=eyJ2IjoiMSJ9.UX9ELEkKXPmdXeeN6sD8e14W45MS6aRRb-SOQYsuDlc46fQNhC8MW5TYiSOoymQ6CwsocpClmCkvjMMScAMPz6dLivdAIx34iCY-KAs_Jl9pmaqS4WVuHktYMeK0M2jpWkBGQiJ8gwk0Xo24eob70ASRWO3t9a15g_qMIHQG3TJ7LOVGpbA6mCK1L0qxeT0hwoCFaSuNXY3wMIKi03NONgJhKSD7fIcXQaaZLE-CDNzW5mSbXnuNzDjJCTg_8s86KitvHCtwnJ-DzH_ZelNY7ISHvqQl0gpQ3dsXKxSC9ec.-Z1xsSG1tZ1jDcy33GWKJWGeknusohsLvXOR-uJR7Mc&dib_tag=se&keywords=vital+wheat+gluten&qid=1721258856&sprefix=vital+whe%2Caps%2C148&sr=8-6,$9.49,https://m.media-amazon.com/images/I/41R6hRCf0ML._SY300_SX300_QL70_FMwebp_.jpg,,,
18,1,Clothes,Berry and bee converse ,https://www.mercari.com/us/item/m86027379251/?com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,$125.00,https://u-mercari-images.mercdn.net/photos/m86027379251_1.jpg?width=1024&height=1024&format=pjpg&auto=webp&fit=crop&_=1726479422,,,
18,1,Clothes,Pusheen Swimsuit,https://poshmark.com/listing/Pusheen-mermaid-monokini-juniors-65ce5941bd66cd9d9d814275,$25.00,https://di2ponv0v5otw.cloudfront.net/posts/2024/02/15/65ce5941bd66cd9d9d814275/m_wp_65ce5941bd66cd9d9d814276.webp,,,
18,1,Clothes,Cinnamoroll Strawberry Ruffle Dress,https://www.hottopic.com/product/cinnamoroll-strawberry-ruffle-dress/20546040.html,$54.90,https://cdn.media.amplience.net/s/hottopic/20546040_hi?$productMainTablet$&fmt=auto,,,
18,1,Clothes,clothes from shein/shein gift card,https://m.shein.com/us/giftcard.html?lang=us,ANY AMOUNT,https://www.mygiftcardsupply.com/wp-content/uploads/2023/03/Shein-Gift-Cards.png,,,
18,1,Clothes,Hello Kitty x Pusheen Lavender Clouds Suspender Skirt,https://poshmark.com/listing/Hello-Kitty-X-Pusheen-Lavender-Suspender-Skirt-Hot-Topic-Sanrio-64d2b9462fbf1a0e666c2e75#utm_source=gdm_unpaid,$17.00,https://di2ponv0v5otw.cloudfront.net/posts/2023/08/08/64d2b9462fbf1a0e666c2e75/m_wp_64d2b95097b5d036c2d3506e.webp,,,
18,1,Clothes,Pusheen Slippers,https://www.amazon.com/gp/product/B0BD59GT81/ref=sw_img_1?smid=A1U7E11P5KZ4D1&th=1&psc=1,$22.00,https://m.media-amazon.com/images/I/81sk2kbbAKL._AC_SY500_.jpg,,,
18,1,Clothes,hello kitty® ladies ankle socks 5-pack - red & blue,https://www.fivebelow.com/products/hello-kitty-ladies-ankle-socks-5-pack-red-blue,$5.00,https://fbres.fivebelow.com/image/upload/t_large/5bassets/prod-hts/spree/images/1867268/original/7580061-00_A.jpg,,,
18,1,Clothes,Strawberry Swimsuit,https://nyahallo.com/products/pre-order-strawberry-one-piece-swimsuit?_pos=2&_sid=945dabaa1&_ss=r,$67.99,https://nyahallo.com/cdn/shop/files/1_piece_side_front_small_521c618b-4453-484f-b569-d8898f484a1b.jpg?v=1718338929&width=960,,,
18,1,Clothes,Pusheen Cardigan,https://www.depop.com/products/hunnydau-pusheen-the-cat-pink-sailor/,$22.50,https://media-photos.depop.com/b1/34427349/1585675110_49eaddef258a4f27b33e350dfaf9baa6/P0.jpg,,,
18,1,Clothes,UGG Men's Tasman Slipper,https://www.amazon.com/gp/product/B000J19AY2/ref=twister_dp_update?ie=UTF8&psc=1&redirect=true,$109.00,https://m.media-amazon.com/images/I/81mILq8jToL._AC_SX395_.jpg,,,
18,1,Clothes,white crocs,https://www.amazon.com/crocs-Unisex-Classic-White-Women/dp/B00152AGEW?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,$32.00,https://m.media-amazon.com/images/I/61kuoM3sRaL._AC_SX395_.jpg,,,
18,1,Clothes,my melody sweater,https://www.aliexpress.us/item/3256803798020551.html?spm=a2g0o.cart.0.0.103238daVlKl6i&mp=1&gatewayAdapt=glo2usa,$16.00,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSXfmyNF8iry43M6ZTX_exyZbJbb4hDsV0T9uG6ob57V8l70wqRlILnDsORSTdKOvjyCnP7_m4eqQ6LhroH12YmZPcwg6ZgRA,,,
18,1,Clothes,hello kitty sweater,https://www.aliexpress.us/item/3256803797941918.html?spm=a2g0o.cart.0.0.103238daVlKl6i&mp=1&gatewayAdapt=glo2usa,$16.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzTFE07DI38k_2SPlmNuQxFgP7YXZfggJOVg&s,,,
18,1,Clothes,Strawberry Jam Sweater,https://mochipan.com/products/strawberry-jam-sweater,$59.99,https://mochipan.com/cdn/shop/files/Pre-Sample_Pre-Order_Strawberry_Jam_Sweater_-_Mochipan-2965783.jpg?v=1725268712&width=1200,,,
18,1,Clothes,Snoopy PJS,https://www.kohls.com/product/prd-6749164/womens-beauty-sleep-social-marcie-peanuts-halloween-long-sleeve-top-pants-pajama-set.jsp?skuId=78702476,$24.50,https://media.kohlsimg.com/is/image/kohls/6749164_The_Great_Pumpkin?wid=805&hei=805&op_sharpen=1,,,
